9,"Hon. Justice Dr. I. T. Muhammad, GCON, Chairman, Body of Benchers and Acting Chief Justice of Nigeria",members/thumbnails/9bec8658-c854-4a79-99e2-5573058bde9c.JPG,<p>&nbsp;</p>,"2019-01-04 16:02:51","2019-07-25 03:07:58"
10,"Mr. O. C. J. Okocha, MFR, SAN",,<p>&nbsp;</p>,"2019-01-04 16:03:43","2019-04-04 11:04:37"
11,"Mr. O. C. J. Okocha, MFR, SAN Vice Chairman",,<p>&nbsp;</p>,"2019-01-04 16:04:53","2019-04-04 11:09:34"
12,"Hon. Justice Adetokumbo Ademola, GCFR",,<p>&nbsp;</p>,"2019-01-04 16:05:44","2019-04-04 11:43:45"
13,"Hon. Justice Taslim Ellias, GCON",,<p>&nbsp;</p>,"2019-01-04 16:06:22","2019-04-04 11:20:45"
14,"Sir Darnley Alexender, KBE",,"<p>Sir Alexander, GCON, KBE was Chairman of the Body of Benchers from 1973 to 1974.</p><p>&nbsp;</p><p>He is a Life Bencher.</p>","2019-01-04 16:07:22","2019-05-13 16:29:17"
15,"Hon. Justice Augustine Nnamani",,<p>&nbsp;</p>,"2019-01-04 16:08:39","2019-04-04 11:24:44"
16,"Hon. Justice Mohammed Bello, GCON",,"<p>Justice Bello, GCON was Chairman of the Body of Benchers from 1975 to 1976.</p><p>&nbsp;</p><p>He is a Life Bencher.</p>","2019-01-04 16:10:28","2019-05-13 16:54:05"
17,"Hon. Justice G.S. Sowemimo, GCON",,<p>&nbsp;</p>,"2019-01-04 16:11:19","2019-04-04 11:26:54"
18,"Chief T.O.S. Benson, CFR,SAN",,"<p>Chief Benson, CFR, SAN was Chairman of the Body of Benchers from 1979 to 1980.</p><p>&nbsp;</p><p>He is a Life Bencher.</p>","2019-01-04 16:11:55","2019-05-13 16:43:18"
19,"Hon. Justice Fatayi-Williams, GCON",,<p>&nbsp;</p>,"2019-01-04 16:12:24","2019-04-04 11:28:49"
20,"Chief R.O.A. Akinjide, CON, SAN",,"<p>Chief Akinjide, CON, SAN was Chairman of the Body of Benchers from 1981 to 1982.</p><p>&nbsp;</p><p>He is a Life Bencher.</p>","2019-01-04 16:13:37","2019-05-13 16:55:30"
