"id","name","hq","head","email","phone","website","description"
1,--,NULL,NULL,NULL,NULL,NULL,NULL
2,Small and Medium Enterprises Development Agency (SMEDAN),,,,,,
3,Abuja Geographic information systems,,,,,,
4,Office of the National Security Adviser,,,,,,
5,Akanu Ibiam Federal Polytechnic,,,,,,
6,Police Service Commission,,,,,,
7,Revenue Mobilization and Fiscal Commission,,,,,,
8,Supreme Court of Nigeria (SCN),,,,,,
9,Teacher's Registration Council of Nigeria,,,,,,
10,University of Benin Teaching Hospital,,,,,,
11,University of Jos,,,,,,
12,Usman Danfodiyo University Teaching Hospital Sokoto,,,,,,
13,Alvan Ikoku Federal College of Education Owerri,,,,,,
14,Budget Office of the Federation,,,,,,
15,Pension Transitional Arrangement Directorate,,,,,,
16,Petroleum Products Pricing Regulatory Agency (PPPRA),,,,,,
17,Bureau of Public Service Reforms,,,,,,
18,New Partnership for African Development,,,,,,
19,National Bureau Of Statistics,,,,,,
20,National Business and Technical Examination Board,,,,,,
21,Abuja Environmental Protection Board,,,,,,
22,News Agency Of Nigeria,,,,,,
24,Pharmacists Council of Nigeria Council,,,,,,
25,Agricultural Research Council of Nigeria,,,,,,
26,Nigeria Agricultural Insurance Corporation,,,,,,
27,National Centre for Women Development,,,,,,
28,Centre for Management Development,,,,,,
29,Nigeria Christian Pilgrim Commission,,,,,,
30,Auditor General for the Federation,,,,,,
31,National Commission for Colleges of Education,,,,,,
32,Public Complaints Commission,,,,,,
33,Nigeria Commodity Exchange,,,,,,
34,Bank of Industry (BOI),,,,,,
35,Border Communities Development Agency,,,,,,
36,Nigeria Communication Satellite Limited (NIGCOMSAT),,,,,,
37,Code of Conduct Bureau,,,,,,
38,"National Commission for Mass Literacy, Adult and Non-Formal Education",,,,,,
39,Bureau of Public Enterprise,,,,,,
42,National Commission for Refugees,,,,,,
43,Nigeria Customs Service (NCS),,,,,,
44,National Population Commission,,,,,,
45,National Directorate Of Employment,,,,,,
48,Bureau of Public Procurement,,,,,,
49,Nigeria Export Processing Zone Authority (NEPZA),,,,,,
50,National Emergency Management Agency,,,,,,
51,National Film And Video Censor Board,,,,,,
52,Bureau of Public Service Reforms,,,,,,
53,Public Complaints Commission,,,,,,
54,Corporate Affairs Commission,,,,,,
55,National Health Insurance Scheme,,,,,,
56,Nigeria Export Promotion Council (NEPC),,,,,,
57,"National Hospital, Abuja",,,,,,
58,National Power Training Institute of Nigeria,,,,,,
59,Central Bank of Nigeria (CBN),,,,,,
60,National Human Rights Commission,,,,,,
61,Radiographers Registration Board,,,,,,
62,National Identity Management Commission,,,,,,
63,Council of Legal Education,,,,,,
64,Raw Materials Research and Development Council (RMRDC),,,,,,
66,Nigeria Investment Promotion Council (NIPC),,,,,,
69,National Information Technology Development Agency (NITDA),,,,,,
71,National Institute for Pharmaceutical Research and Development (NIPRD),,,,,,
72,Court of Appeal,,,,,,
73,National Insurance Commission,,,,,,
74,Nigeria Nuclear Regulatory Authority,,,,,,
75,National Primary Healthcare Development Agency,,,,,,
78,Nigeria Press Council,,,,,,
79,Citizenship and Leadership Training Centre,,,,,,
80,Debt of Management Office,,,,,,
81,National Library of Nigeria,,,,,,
83,Nigeria Railway Corporation,,,,,,
84,National Lottery Regulatory Commission,,,,,,
85,Revenue Mobilisation Fiscal & Allocation Commission,,,,,,
86,Nigerian Agricultural Quarantine Service,,,,,,
87,National Merit Award,,,,,,
88,"National Salaries, Incomes and Wages Commission",,,,,,
89,National Orientation Agency,,,,,,
90,National Sport Commission,,,,,,
91,Economics and Financial Crimes Commission,,,,,,
92,National Parks Service (NPS),,,,,,
93,National Teachers Institute,,,,,,
94,National Pension Commission,,,,,,
96,Nigerian Communications Commission,,,,,,
97,National Youth Service Corps,,,,,,
100,Federal Character Commission,,,,,,
101,National Primary Health Care Development Agency,,,,,,
102,News Agency of Nigeria,,,,,,
103,Nigeria Airspace Management Agency,,,,,,
104,Nigerian Copyright Commission,,,,,,
106,"National Salaries, Income And Wages Commission",,,,,,
107,Nigeria Deposit Insurance Corporation,,,,,,
108,Nigerian Electricity Regulatory Commission,,,,,,
109,National Universities Commission,,,,,,
110,National Youth Service Corps,,,,,,
111,Federal Inland Revenue Service (FIRS),,,,,,
113,Nigerian Extractive Industries Transparency Initiative (NEITI),,,,,,
114,Nigeria Deposit Insurance Corporation,,,,,,
116,Security & Exchange Commission (SEC),,,,,,
117,Nigeria Football Federation,,,,,,
118,Federal Road Maintenance Agency (Ferma),,,,,,
120,Nigeria Institute of Advance Legal Studies,,,,,,
121,Nigerian Law Reform Commission,,,,,,
122,Small & Medium Enterprises Development Agency of Nigeria (SMEDAN),,,,,,
123,Nigeria Institute of Social and Economic Research,,,,,,
124,Code of Conduct Bureau,,,,,,
125,Nigerian Law School,,,,,,
126,Federal Road Safety Corps,,,,,,
127,Nigeria Institute of Transport Technology (NITT),,,,,,
128,Federal Staff Hospital Jabi,,,,,,
129,Federal College of Education (Technology) Bishi,,,,,,
130,Standard Organisation of Nigeria (SON),,,,,,
131,Community Health Practitioners Registration Board,,,,,,
132,Nigeria Investment Promotion Council,,,,,,
133,Nigerian Postal Service,,,,,,
134,Nigeria Law Reform Commission,,,,,,
135,Fiscal Responsibility Commission,,,,,,
136,Nigeria Security and Civil Defence Corps,,,,,,
137,Nigerian Television Authority,,,,,,
