"id","description","allocation","agency_id","ministry_id","date_commissioned","location_type","location_id","status_id","type_id","user_id"
1,CONSTRUCTION OF A BRIDGE AT OLOKUN/IFEOLUWA QUARTERS IN AKOKO NORTH WEST LGA OF ONDO STATE.,30000000,29,244,2017-01-01,localGovernment,569,5,2,1
2,"PURCHASE OF TRICYCLE AT KADUNA SOUTH, KADUNA STATE",16000000,29,254,2015-01-01,localGovernment,340,1,2,1
3,"TRAINING AND EMPOWERMENT OF WOMEN AND YOUTH IN IFEDOLUN LGA, LAGOS STATE",5000000,30,35,2017-01-01,localGovernment,491,5,2,1
4,"SUPPLY OF 10 NO. VOLKSWAGEN GOLF 3 CARS. IN DAMBATTA/MAKODA, KANO STATE",10000000,29,239,2016-01-01,localGovernment,361,1,2,1
5,"HIV/MALARIA/TUBERCULOSIS AWARENESS CAMPAIGN AND MEDICAL OUTREACH AT SAKI-WEST/SAKI-EAST/ATISBO, FEDERAL CONSTITUENCY, OYO STATE",10000000,29,194,,localGovernment,647,1,2,1
6,SUPPLY OF GRINDING MACHINE (30)  IN GWARZO/KABO FED CONST KANO STATE,1896000,3,2,2016-01-01,localGovernment,373,1,2,1
7,"CONSTRUCTION OF POLICE OUTPOST AND BOREHOLE IN JIGAWA SOUTHWEST
SENATORIAL DISTRICT",10000000,28,335,1/1/2018,localGovernment,783,3,2,1
8,EMPOWERMENT OF WOMEN IN BABURA/GARKI L.G.A JIGAWA STATE,31800000,1,2,2016-01-01,localGovernment,305,1,2,1
9,"SPECIALISED ENTREPRENURSHIP PROGRAMME FOR YOUTHS IN OKENE LGA, KOGI STATE",20000000,3,122,2015-01-01,localGovernment,470,1,2,1
10,"ICT TRAINING FOR WIDOWS AND HANDICAPS IN  IN AWE /DOMA / KEANA, FEDERAL CONSTITUENCY, NASARAWA
STATE.",50000000,31,36,1/1/2018,localGovernment,514,5,2,1
11,"YOUTH AND WOMEN EMPOWERMENT IN SUMAILA/TAKAI FED CONSTITUENCY, KANO STATE",25000000,18,45,6/1/2019,localGovernment,390,5,2,1
12,"SUPPLY OF 14 SEATER BUSUES FOR EMPOWERMENT, BENUE NORTH EAST SENATORIAL DISTRICT, BENUE STATE",35000000,18,45,2016-01-01,localGovernment,773,1,2,1
13,"Obosi Erosion Control, Phase 2","655095414,20",1,232,2005-08-17,localGovernment,770,3,4,1
14,"CONSTRUCTION OF YOUTH DEVELOPMENT CENTRE, OBUBRA, CROSS RIVER STATE",30000000,27,288,2016-01-01,localGovernment,169,2,2,1
15,"SUPPLY OF MOTOR CYCLES AND ACQUISITION CENTRE AT RONI, LGA, KAZAURE CONSTITUENCY, JIGAWA STATE",22000000,3,2,,localGovernment,327,1,2,1
16,"CONSTRUCTION OF MODERN HEALTH CARE CENTRE AT GAGARAWA, HEAD QUARTERS OF GAGARAWA LOCAL GOVERNMENT, JIGAWA STATE.",32000000,29,239,,localGovernment,311,1,2,1
17,"35 NO. COMPUTER LAPTOPS FOR SKILL ACQUISITION PROGRAMME IN OBUBRA/ETUNG FEDERAL CONSTITUENCY, CROSS RIVER STATE.",10000000,3,2,2016-01-01,localGovernment,176,1,2,1
18,"CONSTRUCTION, SUPPLY AND INSTALLATION OF EQUIPMENT FOR PALM PROCESSING FACTORY IN AKOKO EDO FEDERAL CONSTITUENCY, EDO STATE.",25000000,28,295,2017-01-01,localGovernment,1,1,2,1
19,"SUPPLY OF 7 NOS OF HOME GRINDING MACHINE IN DELTA NORTH SENATORIAL DISTRICT, DELTA STATE.",968660,35,316,2017-01-01,localGovernment,767,1,2,1
20,"SUPPLY OF MOTORCYCLES TO ETI-OSA FEDERAL CONSTITUENCY OF LAGOS
STATE",19666000,11,356,6/1/2019,localGovernment,497,5,2,1
21,"""SUPPLY OF MOTORCYCLES IN ANAMBRA NORTH SENATORIAL DISTRICT, ANAMBRA
STATE""",83000000,1,267,2019-06-01,localGovernment,1,5,2,1
22,"SUPPLY OF AGRICULTURE EQUIPMENT FOR OYO NORTH FARMERS IN OYO NORTH SENATORIAL DISTRICT, OYO STATE.",70000000,5,1,2017-01-01,localGovernment,634,5,2,1
23,"STRATEGIC EMPOWERMENT PROGRAMME IN EKITI SOUTH SENATORIAL DISTRICT, EKITI STATE.",110000000,3,122,2015-01-01,localGovernment,240,1,2,1
24,"PURCHASE OF 50 NOS MOTORCYCLES, 10 NOS TRICYCLES (KEKE NAPEP) AND 200 NOS SEWING MACHINES, AHOADA-WEST LGA, RIVERS STATE",13000000,29,254,2016-01-01,localGovernment,669,1,2,1
25,"46 UNITS OF MOTORCYCLE AT N112,000 FOR YOUTH EMPOWERMENT AT DEKINA/BASSA LGAS OF KOGI STATE",5200000,3,122,2015-01-01,localGovernment,458,1,2,1
26,"COMPLETION OF AN ONGOING BLOCK OF FOUR CLASSROOMS IN AIYETORO-KIRI, KABBA/BUNU LGA, KOGI WEST SENATORIAL
DISTRICT, KOGI STATE",15000000,12,172,1/1/2018,localGovernment,463,5,2,1
27,"ELECTRIFICATION OF SOME COMMUNITIES IN ISIALA-NGWA NORTH LGA IN ABIA CENTRAL SENATORIAL DISTRICT, ABIA STATE",20000000,29,35,,localGovernment,6,1,2,1
28,"PROVISION OF TRACTORS AND ACCESSORIES (MF) MASSEY FORGOSUN (375MF) IN KAGA / GUBIO/MAGUMERI
FEDERAL CONSTITUENCY, BORNO STATE.",50000000,29,244,1/1/2018,localGovernment,155,5,2,1
29,"CONSTRUCTION OF A BLOCK OF 3 CLASSROOMS WITH VIP TOILET AT UMUCHU, AGUATA LGA, ANAMBRA STATE",14000000,28,275,2015-01-01,localGovernment,71,1,2,1
30,"""TRAINING AND WORKSHOP IN FISH PRODUCTION AND FEED MAKING FOR WOMEN AND YOUTHS IN EDO NORTH
SENATORIAL DISTRICT, EDO STATE""",90000000,23,229,2018-01-01,localGovernment,778,5,2,1
31,"SUPPLY OF INSTRUCTIONAL MATERIALS AT KOKO-MAGAJI PRIMARY SCHOOL,  KEBBI STATE",8000000,10,173,01/01/2017,localGovernment,804,1,3,1
32,"PURCHASE OF 50 UNITS OF TAXI CARS FOR POVERTY ALLEVIATION PROGRAMME AT BALI, GASSOL LGAs, TARABA STATE.",60000000,29,254,2015-01-01,localGovernment,717,1,2,1
